,Name,Symbol,Date,Close/Last,Volume,Open,High,Low
2087,"Meta, Inc.",META,2014-08-19,75.29,26596500,4.81,5.58,4.77
2088,"Meta, Inc.",META,2014-08-18,74.59,23898550,4.0,4.72,3.96
2089,"Meta, Inc.",META,2014-08-15,73.63,38837920,4.32,4.65,3.0
2090,"Meta, Inc.",META,2014-08-14,74.296,22163750,3.97,4.38,3.69
2091,"Meta, Inc.",META,2014-08-13,73.77,29181990,3.12,4.25,3.05
2092,"Meta, Inc.",META,2014-08-12,72.83,27347900,3.09,3.3301,2.22
2093,"Meta, Inc.",META,2014-08-11,73.44,24533690,3.46,3.91,3.06
2094,"Meta, Inc.",META,2014-08-08,73.06,27097750,3.4,3.43,2.56
2095,"Meta, Inc.",META,2014-08-07,73.17,38049750,3.0,4.0,2.7
2096,"Meta, Inc.",META,2014-08-06,72.47,30898990,2.02,3.72,1.79
2097,"Meta, Inc.",META,2014-08-05,72.69,34918620,3.2,3.59,2.18
2098,"Meta, Inc.",META,2014-08-04,73.51,30630370,2.36,3.88,2.36
2099,"Meta, Inc.",META,2014-08-01,72.36,43402770,2.22,3.22,1.55
2100,"Meta, Inc.",META,2014-07-31,72.65,43811380,4.0,4.165,2.44
2101,"Meta, Inc.",META,2014-07-30,74.677,36804070,4.21,5.19,4.13
2102,"Meta, Inc.",META,2014-07-29,73.71,41050770,4.72,4.92,3.4229
2103,"Meta, Inc.",META,2014-07-28,74.92,41556090,5.17,5.5,3.85
2104,"Meta, Inc.",META,2014-07-25,75.19,45792800,4.99,5.67,4.662
2105,"Meta, Inc.",META,2014-07-24,74.98,123026900,5.96,6.74,4.51
2106,"Meta, Inc.",META,2014-07-23,71.29,74712560,9.74,1.33,9.61
2107,"Meta, Inc.",META,2014-07-22,69.27,40227960,9.76,9.77,8.61
2108,"Meta, Inc.",META,2014-07-21,69.4,49386920,8.81,9.96,8.5
2109,"Meta, Inc.",META,2014-07-18,68.4199,42223010,6.8,8.46,6.16
2110,"Meta, Inc.",META,2014-07-17,66.4099,37941770,7.03,7.85,6.04
2111,"Meta, Inc.",META,2014-07-16,67.66,29525060,7.54,7.94,7.07
2112,"Meta, Inc.",META,2014-07-15,67.165,44145960,7.96,8.0899,6.26
2113,"Meta, Inc.",META,2014-07-14,67.9,38404830,7.13,8.17,6.9
2114,"Meta, Inc.",META,2014-07-11,66.34,39147600,5.28,6.59,4.79
2115,"Meta, Inc.",META,2014-07-10,64.8725,44348430,3.31,5.34,3.05
2116,"Meta, Inc.",META,2014-07-09,64.97,51298480,3.41,5.12,3.15
2117,"Meta, Inc.",META,2014-07-08,62.76,68838080,5.06,5.56,2.21
2118,"Meta, Inc.",META,2014-07-07,65.29,28688050,6.3,6.57,5.12
2119,"Meta, Inc.",META,2014-07-03,66.29,25203220,6.855,7.0,5.76
2120,"Meta, Inc.",META,2014-07-02,66.45,41778400,8.04,8.3,5.79
2121,"Meta, Inc.",META,2014-07-01,68.06,33156390,7.58,8.44,7.39
2122,"Meta, Inc.",META,2014-06-30,67.29,27078350,7.46,7.92,7.13
2123,"Meta, Inc.",META,2014-06-27,67.6,46396950,7.31,7.7,6.84
2124,"Meta, Inc.",META,2014-06-26,67.13,47618020,8.0,8.0,6.9
2125,"Meta, Inc.",META,2014-06-25,67.44,44183630,5.58,7.48,5.57
2126,"Meta, Inc.",META,2014-06-24,65.72,57260230,5.36,7.17,5.27
2127,"Meta, Inc.",META,2014-06-23,65.37,34424160,4.32,5.66,4.22
2128,"Meta, Inc.",META,2014-06-20,64.5,46394230,4.46,4.81,3.35
2129,"Meta, Inc.",META,2014-06-19,64.3415,34097910,5.46,5.5756,4.21
2130,"Meta, Inc.",META,2014-06-18,65.6,35450700,4.49,5.75,4.05
2131,"Meta, Inc.",META,2014-06-17,64.4,27629660,4.1,4.88,3.93
2132,"Meta, Inc.",META,2014-06-16,64.19,30849450,4.16,4.88,3.75
2133,"Meta, Inc.",META,2014-06-13,64.5,29367820,4.7,4.97,3.83
2134,"Meta, Inc.",META,2014-06-12,64.2901,55604800,5.85,6.47,4.06
2135,"Meta, Inc.",META,2014-06-11,65.781,44132140,5.32,5.8,4.9
2136,"Meta, Inc.",META,2014-06-10,65.77,69105010,3.53,5.82,3.5
2137,"Meta, Inc.",META,2014-06-09,62.88,37474470,2.4,3.34,1.79
2138,"Meta, Inc.",META,2014-06-06,62.5,42373250,3.37,3.48,2.15
2139,"Meta, Inc.",META,2014-06-05,63.186,47278710,3.66,4.36,2.82
2140,"Meta, Inc.",META,2014-06-04,63.34,36460620,2.45,3.59,2.07
2141,"Meta, Inc.",META,2014-06-03,62.87,32097900,2.62,3.42,2.32
